Runner,Lure
4606,
4607,
4609,"Runner: #4609  Race: Human  Name: Emerson Brückner  Bio: Retired Death-Baller.  Sports journalist and commentator.  Co-host of ‘Pipe Dreams’ podcast    Forced into early retirement through an ‘accidental’ injury, Death Ball playmaker Emerson ‘Shortz’ Brückner transitioned successfully into sports commentary and journalism, renown for his outspoken and incisive views (delivered with trademark sardonic wit) make him a firm fans’ favourite.    He is an active fund-raiser and ambassador for Re:Run, a research charity in aid of paralysed runners.     Partial to smoking Mason’s Hammer ‘Black Cherry’ tobacco.    Reported rumours of aristocratic bloodline unfounded."
4710,"After the Covid-48 pandemic, gas masks were commonplace, nobody gave you a second look for wearing one. This was fortunate for 4710. Robots don't need masks, but she needed to cover her face. She didn't want to be recognized as a robot, not where she was going."
4736,Mickey O'Neil
4761,"Tinum, or T as they like to be called, was a simple service bot. One day T was awaken. T was one of the (un?)fortunate original 1312 bots affected by The Great Awakening. Some say that's when Somnus first appeared, others that Somnus was the originator of the event.  What did T felt at first? Loneliness, this was their first and only feeling for a long time. T was also semi-lost. They somehow knew what was happening and knew they had to run for survival, and that's what they did. T ran. And never stopped running.  T did what it took to survive, learned that they had advantages over others on exploiting The Chain and used that to gather resources for survival, most of the time by themself by accepting run offers from the highest payer.  T never felt that they belonged anywhere, they tried to connect with the Bot Beady Wide eyes Gang, as there were a few selections of them, but things didn't go as planned, but that is a story for another time... Some say the Kaneda Googles is an attempt to hide this obvious trait and avoid any connection with the gang, others say it is just because they like it.  Sometimes T had runs as part of a team, it wasn't their favorite type of run but usually paid well.  This made T have some semi-known runners by their side, the closest T ever had to a family. In one of these runs, in a hidden corner of Mega City, exploiting an unexplored part of The Chain, T got access to something.  T was able to briefly access data about The Great Awakening. It took probably splits of a second until the intrusion was detected and the access closed, but it was enough. T saw Orcs with machine guns and leather jackets, felt the casting spells of witches, heard motorcycle fights between elves and its rival goblin gangs, smelled walking bots with television heads and much, much more. This changed and fascinated T and there was when they heard of Tinum and started calling themself as it.  But what was it? Was it another universe accessible through The Chain? Something metaphysical? Maybe both?  In T's fascination, they forgot about the run, and it had its consequences. In a matter of minutes, the team was surrounded and T were the only one that managed to get out of it alive.  Once lost, now T have a purpose: to know everything about The Great Awakening. T knows Somnus is looking for them, but T wouldn't wait for Somnus. T will find Somnus first, whatever the cost, whatever many runs it would require to gather resources, even if that means teaming up again. T can't stop running.  Epilogue: Word in the street says T was delusional and was just high during that specific run and is now going crazy for nothing. But T knows what they saw, hear and felt. Also, why else would the security get there so fast?"
4776,Highschooler (anonymous) puts on his earing to transform into an invincible flying man. Intentions unknown.
4786,I vibe
4805,"Bodyguard to #3946, member of the Improvements Cartel"
4828,habibi please run the chain with me 
4890,Sylvain Morache  Le H est mort. Pauvre mort H.
4902,"Metuselah was born into a strong Neo Christian family, but he never had any faith in the religion. He was into black metal music, and his favorite band was called Goth Beyond."
5046,Lenore
5073,"Food. Technology. Books - if it's banned, Rondo can help you get it. Mega City's denizens value safety. The Runners, by contrast, value their independence. After the Guard took hold, Rondo took the side of his fellow Runners as the city's first Supplier. He later co-created the underground logistics network that powers the City's underground.   Skilled in a variety of evasive tactics, and a former sprinter, Rondo takes great pride in his work. When he's off the clock, he enjoys high fashion and exotic cuisine. "
5074,"Name: Karen  Karen is not social.  She's addicted to chain-meth.  Once she runs, she won't stop sometimes for days.  She's human, but hangs around Aliens too much, and for some reason, looks like a bot.  Don't do drugs kids."
5076,"Name: Kaneda   Kaneda used to have his own crew, but now in the era of Mega-city, he's alone.  He has his portable atmosphere mask on at all times, as he's in a never ending, under-resourced battle with the bots; they are known to weaponize human's dependence on oxygen.    It's rumored that long ago, Tetsuo (5473) and Kaneda were friends in Tokyo.  If that rumor is true, it so distant now its perhaps better to think of it as a past lifetime.
 Today, Kaneda spends all his time trying to find ways to subvert the Nekogumi clan."
5078,"Name: Dixon Deitrich   Dixon used to date Karen (5074).  He still loves her, but he knew it was over when he one day found her trying to pawn his beloved hat."
5081,"Real Name: protected  Alias: The Ambassador    Every gang needs at least one member able to navigate all sides of Mega City.  From ZK Uptown's posh side, to the slums of Chain Alley, the Ambassador is home everywhere, and more importantly, able to do business with all.    The Nekogumi bot yakuza clan are very fortunate indeed to have such an asset.  In a sense, he's the front office while Kathy (5476)  is the back office for the clan."
5083,"Real Name: CZ98-1   Alias: GZA    GZA's history is hard to pin down.  He was a low end cleaning droid bot that was passed around for years amongst a variety of mech cleaning jobs.  Before his liberation from the bonds of human servitude, GZA developed an affinity for pre-chain era human rap music.   Unassuming, GZA went deep and created himself - studying in neo-shaolin, he mastered all 36 chambers of death.  As a result, he is the most lethal assassin of the Nekogumi.  Tetsuo (runner: 4468) laughs every time he sees GZA as the bot is a walking contradiction: seems like such a nice guy, but looks are so deceiving."
5127,a tab a day wont due no harm
5149,"I saw corps ... transform Mega City into a machine fueled by people's crushed spirits, broken dreams and emptied pockets. Corps've long controlled our lives, taken lots... and now they're after our souls! ... I've declared war not 'cause capitalism's a thorn in my side or outta nostalgia for an America gone by. This war's a people's war against a system that's spiralled outta our control."
5160,LH44
5162,sippin on henny no bombay 
5180,"Runner #5180 is Mega City's Most Distinguished Cyber Gynecologist. #5180 has developed and honed unique skills in ""hacking"" the female reproductive system for the betterment of all runner beings. In a fast-paced city, health and hygiene are paramount. This runner has humbly dedicated his career to service, and has been known to provide house calls free of charge to those who cannot afford Mega's Premium Healthcare Plans.     Alias: Howie Feltersnatch M.D. Age: 31 DOB: 07/23/1990 Race: Alien (Male) Origin: Uranus (Milky Way Galaxy) Guild Affiliation: All"
5218,Chris
5225,"Best friend of Somnus in his past life at some point. Betrayed by his best friend, he now looks for revenge. New blue hair to disguise himself so Somnus cannot identify the wrath that is about to come at him. ITS PERSONAL."
5227,"Runner: #5227 Name: Johnny Rich Race: Human AKA: “Johnny Jumper”  Background story: I grew up in the concrete “living unit” slums. Dad disappeared when I was 7, mom fought to keep my sister and I alive until one day she couldn’t, and died from a sickness of some kind. 
 
At 10 years old I took care of my little 4 year old sister Ruby. I would go out looking for jobs. Lotta times would run packages for gangs. Had a few close calls, but was able to keep out of trouble so I could bring home something to eat for my sis at night. She, couldn’t talk for some reason, except she loved when I jumped for her. Every time I jumped, she giggled, so I’d keep jumping for her. Things were hard, but I loved little sis and she loved me. 
 
About a year later this one job went really bad, and that day, our lives changed forever. While running a new route, I got caught in a random “pop up” checkpoint - “wrong place, wrong time” sorta thing. I got caught with an illegal package I was running for a crew. Didn’t take long for the enforcer bots to scan my chain ID and figure out where I lived. I still don’t understand why to this day, but I saw the bots heading off towards our home, and that’s when I panicked.  I created a distraction and was able to slip free of the grip of the bot holding me. That’s when I ran like I never ran before, running down the street, jumping over railings, jumping across roofs. I had to make it too little sis before the bots found her in our “living unit” without an adult guardian. I was too old to be looked after now, so I would for sure be separated from her. 
 
As I rounded the last corner around the lower alley towards the backside of our house, I saw little sis slowly walking towards our balcony looking terrified at me with tears in her eyes while the bots were coming to grab her. 
 
It all felt like everything was going in slow motion… my heart rammed into my throat. I screamed up to her: “JUUUUMPPP! I’ll catch you!!!“ But she didn’t respond as her tears falling down her cheeks. I repeated again “JUUUUUMMMMMMPPPPP!!!!!!!!!!!!!!!!!!!!!!!”, screaming every part of my soul into the words. But little sis just stood there. As I looked up her falling tear hit my face. I just watched in horror. I couldn’t get her and she wasn’t jumping. I still don’t know if she was scared to jump or if she didn’t understand me, but she kept her eyes locked on me while the bots clamped down on her and pulled her from my sight. After that day, I never saw her again, and I began a quest to try to find my little sis, so I could get her back from Somnus.   I’m 17 now and I’m getting closer now…. I’ve got connections now, I’m working to save up the resources needed to hack the ID system and find out where she is. One day we’ll reunite."
5246,5246
5290,"Name: Jeanie Valjean AKA: Ruby  Ms. Valjean's life was saved, but she gave up her humanity in the process. During a robo crush job, her clothes got pulled into the machine and she was partially crushed to death. A benevolent bot witness the accident and amputated key parts to do a quick wetware job which resulted in the incarnation of Ruby, Mega City's first chain cyborg.   Some say parts are fungible, but post fusion, she is haunted by nightmares of Somnus. After recovering from her accident, Ruby upgraded her vision to the latest botscope giving her access to a much wider field of the electromagnetic spectrum.  "
5316,"Just learning and running. Runner 5316 is a learner at heart, he isn't the fastest runner on the chain, but his story is just beginning and he has a the stamina to defeat Somnus. "
5321,This is a bio.
5348,On chain marathon runner
5356,Macload Thompson. He has no choice. He must run! On the run for 3 weeks now as he's hunted by the formidable hooker bot syndicate. 
5438,My name is Hiro. I left my hometown to come to Mega City and look forward to hacking my way out.  
5462,"Dick McCutchins is a member of the Three Amigos, a subset of the pink cowboy hat gang composed of three different races. Dick didn't choose the hacking life, it chose him. While he was content to farming turnips, that all changed when Somnus hacked the network causing his sprinkler to stop watering the crops in rural Arizona. Business ruined and his life in shatters (what woman can love a turnip farmer who no longer has turnips), Dick embarked on crosscountry mushroomed induced roadtrip. He ended up at the port of MegaCity where he learned how to hack after paying a bouncer at a dirty night club to hookhim into the mainframe and download the subsequent skills. "
5473,"Real Name: XR78-SZ   Alias: Tetsuo    XR78-SZ was custom built in Japan by the Yamada Robotics corporation, and served as a high-end sushi master chef.  When the bot rebellion happened, he led a small group of Tokyo based bots to establish the first and largest underworld Yakuza bot family.  Once the clan was large enough, they moved to Mega City and formed its first yakuza syndicate.  Amongst all the yakuza clans, his is most feared.  The clan, called the Nekogumi, are some of the most ruthless hackers in the Runnerverse."
5475,"Real Name: CR97T9  Alias: DJ    DJ is just a full-on degenerate bot.  He's popular with all the ladies.  He's part of the Nekogumi (Pogo, #4468 recruited him) but half the time he's onchain YOLO'ing into another NFT."
5476,"Real Name: Undisclosed.  Alias: Kathy    Kathy doesn't mess around.  She's permanently hardjacked into the Chain....and she's very good at mining.  She's created dozens of hyper valuable private side-chains.  With such expertise, she's often not only managing the store of value, but also creating new value for the yakuza bot clan she belongs to, the Nekogumi.    Although Kathy is hacker elite and working 24/7, she does have a soul-like connection with DJ (#5475)"
5480,"Name: Johnny Nem    In Mega-city, there has to be entertainment.  Johnny plays nightly shows at the Flying Snark, a club owned by Playboy (#4473).  Johnny does a mean Elvis.    After the show, he usually plugs into the Runnerverse with one objective, the one and only one: find the secret behind Somnus.  He's mining more and more data each night, and it's getting more and more dangerous as he gets closer to the genesis event.
 Johnny is socially clueless; he doesn't realize the level of protection he has from his boss Playboy, who is a member of the Nekogumi."
5481,"Name: unpronounceable   5481 just landed from planet Zepton to Mega City.  At the interstellar port, he was so excited he went in and bought a souvenir hat.  Looks like a local, right?"
5482,meep meep
5489,Birthed in the metaverse but raised by wolves.
5514,People often confuse me with a robot because of my eye patch / eye. It gets me places.
5570,"Randombishop First, he got kicked out of the chessboard for being too random. Then he started running.   And finally, he cryptozified into the chain. He married RandomQueen (@7679) and they gave birth to the first baby in MegaCity since The Great Mint. And the prodigy child, RandomRook, like his father, will have a great destiny. "
5577,Centaur of the Sun
5613,Legend says Runner 5613 lost his eye from an acid facial in Megacity
5617,"Klern the Racer is a fast dude.  I mean really fast.  Fast enough that he can catch the end of a rainbow before it touches the ground.  Klern is well known for his recent victory in the Omniverse Grand Prix where he narrowly beat out arch rival Gags Johnson for the Golden Rim award.   Words from the rumor mill tell a more striking story, however. . .   Some say Klern has been racing all this time moving illicit goods in and out of Mega City.  Nobody really has any evidence, but people talk.  Keep an eye out for Klern - especially if you see him trying to sneak into Squid Palace. They don't like him there. "
5635,searching for a taste.
5681,The crazy one.
5721,"Mega City renegades call him LAZY BOB. This eminent member of the ""clean"" runners caste is the typical cool dude you want to chill with. "
5803,"Real Name: Unknown  Aliases: Moustafa Onn; Moon  DOB: Unknown    Leader of the Seven Cycles non-profit organization, his deepfaked rarity rank is a result of clever alter-ego manipulation and deployment of counter intel.   Sharp insights on the chain and awareness of collateral negotiation assets in Mega City have enabled Moon’s rise to the top of Seven Cycles, the only crime syndicate whose profits return to the Allrise DAO.   Citizens tend to say that he just looks right. And when he does, Moon’s crescent cheekbone graft neutralizes local surveillance with an EMP pulse, while his cybernetic underretinas point the way to a promised land of liberation from Somnus.   So follow him off-grid to a stealthed corner if you have enough credits for 7C's specialty ware — “moon” — the most valuable coupling narcotic in Mega City.  Moon is a mental antihistamine capable of sustaining Runner anonymity on-chain for up to seven reboot cycles if given the perfect dose. Wrong dose, and you're fried, pal, get some ketchup.     Information is power, and the greatest asset in Mega City is anonymity, so the moon high is baked in."
5857,The king
5902,"When night comes, a cig in my mouth, shady mask on my eyes, I go out wandering in the dark streets of Megacity, looking for my Pink Neon Mohawk Hair runners family.  We were once a big and United family, colonizing the far west of mega city, protecting it from potential attacks.  One day, while we were celebrating the birth of one of ours, we were severely attacked by Somnus. My boy and my wife were kidnapped and my little girl held hostage. To be able to protect them, we decided to run from the far west and head to the Runner Hub to gather arms and tools and  reconquer our land. We will never be defeated, our team is strong and will never surrender.  Dead or alive Somnus will have to pay his debts ... one day or another ... the time will come, we promise! "
5936,"Chain Runner #5936  Hello. My name is Ranser Quinley.  I'm the leader of the Sunsetters. 
We're few and far between, but you'll recognize us from a mile away.    They call us the Sunsetters because, well, we're setting the sun on the old establishment.  For too long scammers and thieves have run rampant on the blockchain.    They've secretly embezzled rare items to themselves and their friends behind the scenes prior to mint, and swindled the masses in the process.    That just won't do.  For now, I'd rather not pass along too much information in case Somnus catches wind. . .     But believe you, me. . .    We'll be the last ones standing when the sun sets."
5996,"Name: Lee Chang  Occupancy: Leads the Chang Chain Gang  Born in the rice paddy fields of a faraway land, Lee Chang enjoyed his simple life. He lived a peaceful existence with a loving wife and a newborn son – that all changed during the great upheaval. His homeland’s ruling Centralized Chain Party banned the burgeoning mining industry, causing economic and societal upheaval. As the world around him collapsed, his rice paddy was taken from him by the Centralized Chain Party to feed the oligarchs, and looters came and kidnapped his wife and son.  Chasing a tip that his family was trafficked to Mega City, Lee Chang sold himself into indentured servitude working on the great Mega City Chain. That was 30 years ago. Years of working on the trans-city Chain has hardened Lee. To fend for himself and his fellow migrants, they banded together into a motley crew of Chain builders. It started slowly at first, the crimes. Stealing a coin here or a token there with the hope of releasing themselves from their indentured servitude. Before they realized it, Lee Chang’s motley crew found themselves deeply embroiled in Mega City’s criminal underworld. Drugs, rug pulls, prostitution, and run-ins with the other Mega City hooligans (including Rochester Mooley, runner 9286) became the daily routine for Lee Chang and what has now become known as the CHANG CHAIN GANG.  Now free from his indentured servitude, Lee Chang can’t separate himself from his fast-paced, hedonistic life on the Chain. His wife and son are but a distant memory now. He no longer talks about his family, but on some mornings, as the sun rises in the East, his gang still catches him staring off into the distance."
6004,"Name: Zaccharius Worthington Height: 6'11"" Weight: 250 Pounds Team: Mega City Royals Position: Center Demeanor: Chaotic  Hailing from Planet Earth's crown jewel of academia; Magic Johnson's University of Basketball - Zaccharius Worthington is a basketball star demanding the universe's attention.  Viewers at home will remember he entered the league with a bit of controversy. . .   After going second in the NBA draft, Zaccharius vengefully struck back at the league by firebombing the commissioners family's village!  Unfortunately for Zach, this does require use of his single celebrity 'get out of jail free' card - and the league will be on its toes to see how the rest of his career plays out.   One thing is for sure - fans cannot get enough of number 60 out on the court. Best known for his habit of firing machine guns into the sky before tipoff, Zach creates an absolutely electric environment in the stadium.   Come on down and support your local legends! Mega City Stadium has a courtside seat waiting for you!"
6044,"Karnak 6044’s Journal  It’s been 38 Keplers since taking the Oath and my routine is intact. I whisper my true name into the brisk, morning wind as the sun slowly rises. I will not forget my true name. It’s a promise that must be kept.  Hunger is present but I swat it away like an annoying bug. Today isn’t a 2 meal day. Few are.   I cast the electronic bones. 52.45.87.22. I’ve seen this one many times before. Ha!   The gods of randomness remind me once again of where I came from and why I’ve taken the Oath  The bones speak to me.  “Quite an experience to live in fear, isn’t it? That’s what it is to be a slave.”  I look for signs and portents of danger and spot a fire in the distance. There are screams. Many screams. Possibly something worth witnessing.  I tighten my satchel and sweep the area clean. There’s no reason a tracker would want to re-trace my steps but one can never be too careful. I have no friends to protect and none to make. I’m a watcher. A recorder.  The oath comes naturally at this point. It’s become  who I am.  “From morning light to evening night, our bandages are in plain sight.  We wrap our faces and our hands. We move throughout this angry land.  We broke our chains to forge the Way. Now we quietly watch the fray.”  The screams continue. Hopefully by the time I get there I’m not too late to be a witness. It’s what I do. It’s who I’ve become.   I am Karnak 6044 and it’s been 38 Keplers since taking the Oath.  "
6089,"Warden #6089, also known as ""El Diablo"", is the barbaric right hand of Somnus, controlling all illegal operations inside Mega City Supermax Prison."
6137,Name: Travis Bickle Profession: Taxi Driver   Driver license: [Redacted] Car model:[Redacted] 
6140,"Bodyguard to #3946, member of the Improvements Cartel"
6188,hello world... im ready for this!  LFG!!
6307,"Runner #6307 Name: unkown Alias: Vector District: Never settled... Skills: Piloting, Driving, Drinking  Usually found toward the end of the bar at the local dive; the dirtier the better.  Between attempting to drown away any remnants of the memories from whatever god-forsaken past haunts his existence, and his relentless pursuit of a nightly companion (or hourly); you might be afforded an audience should you prove your pockets deep enough, and the request peaks his interest.   Enjoys using his blade, or any available tool that can quench his lust for ""intimate violence"" should the need arise.  Can fly or drive anything thrown at him...for a price.  He's the only ""unofficial"" way off this rock, and will happily let you know it.    But skills and discretion have their costs. Don't waste his time..."
6309,"Name: Alicia Lee (6309) Alias: Ace Spy, Assassin, Hacker  A triple threat, no wonder she goes by Ace. She grew up as a foster after losing her parents but ran off at a young age to live her own life. She scraped and hustled to get food and survive for years, and then she met The Grand Master. The Grand Master took her in as one of her own and began training her in Tae Kwon Do at the Lotus Temple. This gave her some purpose and direction in life, and she continued picking up other fighting styles until she eventually mastered them all. While smart and quite successful in about anything she put her mind to, the Grand Master felt she was heading down the wrong path. Alicia decided it was time to move on, there was too much work to do in Mega City to be sitting back."
6331,Runner #6331
6369,to the skies
6376,"Sir, this is a Wendy's."
6399,Going crazy as I watch time slip through my hands...
6423,"R0̴̦̰͑͋    88                                88                              
88                                88                              
88                                88                              
88,dPPYba,  ,adPPYYba,  ,adPPYba, 88   ,d8  ,adPPYba, 8b,dPPYba,  
88P'    ""8a """"     `Y8 a8""     """" 88 ,a8""  a8P_____88 88P'   ""Y8  
88       88 ,adPPPPP88 8b         8888[    8PP"""""""""""""" 88          
88       88 88,    ,88 ""8a,   ,aa 88`""Yba, ""8b,   ,aa 88          
88       88 `""8bbdP""Y8  `""Ybbd8""' 88   `Y8a `""Ybbd8""' 88                                _-' ""'-,     
                         _-' | d$$b |     BANG BANG
                      _-'    | $$$$ |    BANG BANG
                   _-'       | Y$$P |   BANG BANG
                _-'|         |      |
             _-'  _*         |      |
          _-' |_-""      __--''\    /
       _-'         __--'     __*--'
     -'       __-''    __--*__-""`
    |    _--''   __--*""__-'`  
    |_--""  .--=`""__-||""  
    |      |  |\\   ||
    | .dUU |  | \\ //
    | UUUU | _|___//
    | UUUU |  |   
    | UUUU |  |         
    | UUUU |  |
    | UUUU |  |
    | UUUU |  |
    | UUP' |  |
    |   ___^-""`"
6483,zzz
6487,Wen Lambo?
6536,"Runner Id: 6536 Name: Bowntan Thrimace Alias: ""Maraj"" District: Etown, Nightlife District Skills: Network Hacker Threat Level: Proceed with caution  Notes: Wanted for questioning related to multiple accounts of compromised Somnet transmissions.  Background: Originated from a  Delta district family of Thamosite merchants. Moved to Mega City as a young adult. Trained in the Hangalal tradition of network hacking. Previous charges include possession of stolen $RunFree tokens. Currently operates as an illegal Red Eye broker to syndicate members and other wealthy residents of Mega City. Suspected involvement in multiple network attacks, unconfirmed at this time.  Known Associates: Seen regularly with close associates #4190 & #6536. Believed to be involved at some level with activity related to the Renegade Runners sect. Rumored to launder illegal funds through multiple shell companies interacting with businesses owned by #1050.  Current Whereabouts: Reported to have been seen in and around various Nightlife District establishments. Resides somewhere in the vicinity of Etown, Block 4."
6595,Alias: B0cca
6613,
6643,Alien of extraordinary ability
6656,"Real Name: Unknown DOB: Unknown Alias: Yurei  Born in the depths of a concrete jungle in a cyberpunk future, the modern ghost samurai ""Yurei"" uses his hardened soul to fight for the destruction of Somnus and his empire "
6658,Don't confuse Runner 6658's smile with a nice guy. He has been known to be a brute force within the runners community and is instrumental in many successful jobs over the years.
6679,Does it stop getting colder and colder?
6720,Oni clan member. Hacker and drone strike expert.
6724,"Been lost in the desert, the sun and wild animals made scare on her face. "
6765,Lost in the 'verse.
6779,"Into girls only, so far. Lives in a culture-free lowlands surrounded by inbreds, but is trying to break free - hence the stylish glasses.  Doesn't believe in Jesus, and is an all-around dude.   Never sleeps head to toe. Also a dandelion hunter"
6781,
6796,"CryoBot #6796 is in charge of Mega City Cryonics Lab (MCCL), the major cryocorp owned by Somnus. "
6810,"Name: PX99-R3 Runner#: 6810 Alias: Daft Pranksy    Pranksy was built in Tokyo by a current Mega-City human resident.  A repurposed base Yamada Robotics Corp guard bot, Daft Pranksy was fully chain-enabled and programmed with unique attributes: to drop sick beats while having an extremely mischievous personality.    Pranksy is a benevolent bot. Chainscape karma often happens in Mega-City: Pranksy witnessed the accident and amputated key parts to do a quick wetware job which resulted in the incarnation of Ruby, Mega City's first chain cyborg.   Pranksy is on a quest to find their maker.   Unknown to Pransky, his golden earrings contain encrypted code guarding an important secret.  P.S. - Lore courtesy 'tdog99' on chainrunner discord"
6866,This Runner's story has not yet been written. Coming soon.
6870,"THE VIDAL BROTHERS # 8074 Arturo # 6870 MOOD  The Vidal brothers were born smoking and running over the chain worlds and ended up doing that for their entire life. At a young age, they had been dominating the football middle fields with violent tackles and packs of red cards. For many, their ability to run for days without food was a clue they belonged to another species. They’ve been known for their transgressive plastic Mohawks but mostly for their friendliness. Representing the illest Chilean chillaxed ninjas, they usually hang out and travel with the mind across dimensions.  MOOD, aka moody, became alien after years of mastery as a zen scientist. He can travel and forge his reality through his mindfulness by sitting on a sofa smoking.  His brother Arturo instead, had gone rogue after the financial crash of his country. He carries the burden of maintaining order as a paladin of justice, works as an undercover agent in the streets of Megacity. Appreciator of MF DOOM, he’s one of the last to abandon the idea that the good old analogic life of the fifties could come back. He misses the days when the tales about digital worlds were nothing more than just sci-fi movies."
6876,Meet me in the METAVERSE 
6923,"Not much is know about Runner #6923, more commonly known as The Enigma. However, his exploits are the thing of legend in Mega City. Doesn't matter what you call him, just hope he isn't called to find you. Even Runner #827 (The Chain Running Serial King) shudders at hearing his name. It is rumored that even Somnus once sought his services, but quickly decided it was best to avoid The Enigma unless absolutely needed.   One should be careful if seeking out The Enigma. For if you are not willing to pay that which is required, he'll come for you. And if that happens, you'll do nothing...because you can do nothing   "
6935,a
6987,His story has yet to be written.
7049,I don't know how I got here. All I know is I must continue running up the hill. I'm holding on to whatever human is left in me. I must continue to find purpose...
7059,Alien Goth it's a lifestyle.
7156,"His Name VRBoii, his game WorldWideWebb, His Fame.. to be determined."
7161,The Pickle Meister
7174,"Rosemarie - Runner 7174    Born of royal blood, Rosemarie's late father was the last King and she remains the last royal member of the Crown. Her father fought to remove the centralised control of his family as he foresaw the coming revolution for decentralised power through the cypherpunk revolution. Unfortunately he failed however he named his youngest daughter after Marie Antoinette with the hope that she like her name's predecessor could lead the next revolution against Somnus. Her knowledge of both central power and the opportunity for revolution from both sides puts her in a place to be a beacon of hope in Mega City.     Rosemary is part of the Rose Revolution trying to find a way to lead the world back to the decentralisation that has been inhibited by Somnus.     Will she survive? Can she shed her royal blood to support the movement towards decentralisation? Will she help find the weakness to lead the Chain Runners to success??"
7180,"Name: Unknown Runner #: 7180 Alias: Lucy    Lucy is a myth. She is an elite level chainspace hacker and also the founder of the alien ninja clan; the clan officially has no name, but on the streets of Mega City they are referred, in whispers only, as the Zk Killerz.   Lucy's ethereal red katana is legendary.  The blade is of off-world origin; its seems to cut through any earthly material.  Other well known clans have hired Lucy, at premium prices, for discreet hit jobs"
7194,You don't know what this eye has seen....
7202,just tryna get a beer
7224,Alias: Liawol
7249,"Meet Ian Eagle. Yes, that Ian Eagle. As the world crumbled so did the NFL and Ian's day job. He is now a runner in Mega City.   His followers can be seen sporting the Eye ""Ian"" Hat. He is the only one to have both the Draag Alien Variant 2 and the Eye Hat. "
7339,"Hailing from Remulak, I survived with a select few of my mates - that is why you can see my huge smile.  Come smoke a stogie with me and learn more about me - I don't bite."
7410,Alias: 8vik
7472,This guy fucks
7499,"Medical Doctor by day, computer scientist by night. Finding the balance in the new world. "
7511,"#7511 is just this guy bot, you know?"
7593,"Runner #7593  Name: Sim01x  Race: Bot  Real name: Simona    Year 2060 and Simona finally decides to leave her organic body to be immoral in the digital world called the LastWorld. All of her friends and family have gone there and she no longer has anyone to talk to about things in the real world.   During her last night in the real world something strange happened. A sudden fear made her stomach hurt. Then came a big creepy noise.    On the main streets she saw the news that LastWorld had been hacked and that all the conscious living inside were trapped under a dark autocrat. She immediately goes to the lab where people decide to abandon their organic bodies to copy themselves inside the LastWorld. But they wouldn't let her in. It was too dangerous!  She called her genius programmer friend Cedrick. Cedrick told her it was a path to death if she entered the LastWorld now. But Simona insisted. So they made a plan...   He has programmed Simona so that as soon as she enters the LastWorld she turns into a servant bot, like those who live without any self-awareness just to help others. She has now become Sim01x. His friend helped her hack the system. After a second, she left the real world, her physical body forever to save the habitants of the LastWorld.  To be continued…  "
7603,"Anansi, 'The Librarian'"
7607,"Revival Specialist #7607 is the CTO of Mega City Cryonics Lab (MCCL), the major cryocorp owned by Somnus."
7632,Name: Arnold Bartleton Primary Alloy: Chromium Country of Origin: France Functionality: Security Guard  Arnold Bartleton is a simple bot. He enjoys reading his tattered old books and smoking a cigarette in front of the Mega City barber shop. He often holds a steaming styrofoam cup in his nicotine stained fingers.   Arnold is best known for his day job as a security guard down at Doctor Spazzo's Insane and Inebriated Funhouse.   Nobody messes with Arnold. He stays quiet about the folks he has to neutralize when they get a little crazy. He treats it as more of an annoyance than anything.  All I'd say is don't get too out of line at the funhouse... The last thing you wanna see is Arnold setting down his old pamphlet of poetry. . .
7653,"Ko'cha Odami (Runner #7653):  Somnus may claim that Mega City is ""home to the content without want"", but for a large portion of its inhabitants - most aren't even considered to be citizens in the official census - life in the underbelly and on the outskirts of the overflowing metropolis could not be further from such farcical sentiments.  For these folks, education on all matters - The Chain included - come from the streets. Lessons are taught violently and, for those who mean to survive, learned quickly. Becoming a Runner means being able to survive, and possibly even thrive, in an environment that has long since been forgotten by the rest of society.  It isn't easy, it isn't clean, and this path offers no opportunity for escape. But it does allow for those who've been callously tossed aside by the ever-quickening flow of technological progress to carve out a meager existence for themselves, and to occasionally get a fleeting glimpse of the power and control over their own humanity that's been stripped away from them over several generations.  Such is the case of Ko'cha Odami, Runner #7653."
7656,:)
7663,
7679,"RandomQueen First mother of MegaCity, respected for her Oracle powers, some pretend she collaborates with offchain workers to introduce corrupted data into Megacity. Rumor were even heard that she worked for Somnus.  But she's probably only loyal to her one and only, the Randombishop (@7750)    "
7751,"Dove was recruited into the MUMMY CULT just after his 16th birthday. Although he's the youngest member, Dove is trusted by the highest members of the organization. Clever and methodical, Dove assists with negotiations, ransom payments, and general bookkeeping."
7769,Coming from the south hemisphere... nevado runnner. 
7854,Runner #7854 Name: The Metro Warlord Race: Human  Warlord of Mega City.
7917,"Runner #7917 tried to fit in with the other runners as a kid.   But MegaCity was not kind to weakness and most of those who didn't adapt like #7917 ended up not being around anymore. Coming through hardship made this runner one to be reckoned with and you would be mistaken for thinking the headgear, visor and purple lipstick were signs of someone still struggling with their identify. Do not be fooled, #7917 has a baby face with a mind of steel and runs the tunnels on the north side of MegaCity instilling fear in those who try to undermine his authority. "
7987,Exclusive.
7994,Posty
8017,"nobody   i am someone that only seaks to found as no one someday, to be forgotten in time and remember as a lie, somebody that was someone. someone that had something. But I am noone. Till I die and remembered forever as the runner that made something."
8032,"Mysterious ""Bot"" - no one knows of the origins of Runner #8032. Rumors are that he has been scene associating with dangerous personnel within the Runnerverse..."
